iter	Passed	Remaining
0	131	130966
1	132	66162
2	133	44275
3	133	33324
4	134	26748
5	135	22374
6	135	19261
7	136	16920
8	137	15088
9	137	13626
10	138	12435
11	138	11437
12	139	10591
13	140	9871
14	140	9241
15	141	8690
16	141	8205
17	142	7772
18	142	7382
19	143	7033
20	144	6730
21	144	6444
22	145	6183
23	146	5951
24	147	5740
25	147	5538
26	148	5348
27	149	5176
28	149	5018
29	150	4866
30	151	4723
31	151	4586
32	152	4458
33	152	4340
34	153	4228
35	154	4133
36	154	4034
37	155	3938
38	156	3846
39	156	3761
40	157	3685
41	158	3606
42	158	3533
43	159	3463
44	160	3396
45	160	3331
46	161	3276
47	162	3216
48	163	3172
49	164	3116
50	164	3062
51	165	3010
52	165	2960
53	166	2912
54	166	2865
55	167	2819
56	167	2777
57	168	2736
58	169	2696
59	169	2661
60	170	2623
61	171	2588
62	171	2554
63	172	2522
64	173	2488
65	173	2456
66	174	2425
67	174	2390
68	175	2361
69	176	2340
70	176	2313
71	177	2287
72	178	2261
73	178	2235
74	179	2210
75	179	2185
76	180	2160
77	180	2136
78	181	2113
79	182	2094
80	182	2072
81	183	2053
82	184	2034
83	184	2015
84	185	1993
85	185	1974
86	186	1953
87	186	1935
88	187	1917
89	188	1903
90	188	1886
91	189	1869
92	190	1853
93	190	1837
94	191	1821
95	191	1805
96	192	1789
97	192	1774
98	193	1759
99	193	1744
100	194	1732
101	194	1715
102	195	1701
103	195	1687
104	196	1674
105	197	1661
106	197	1648
107	198	1636
108	198	1624
109	199	1612
110	199	1600
111	200	1592
112	201	1582
113	202	1571
114	202	1561
115	203	1550
116	204	1540
117	204	1529
118	205	1518
119	205	1508
120	206	1499
121	207	1490
122	207	1478
123	207	1468
124	208	1459
125	209	1449
126	209	1440
127	209	1429
128	210	1420
129	210	1411
130	211	1402
131	211	1393
132	212	1385
133	213	1377
134	213	1369
135	214	1361
136	215	1354
137	215	1346
138	216	1339
139	216	1331
140	217	1323
141	217	1316
142	218	1308
143	218	1300
144	219	1294
145	219	1286
146	220	1279
147	221	1274
148	222	1268
149	222	1262
150	223	1255
151	223	1248
152	224	1241
153	224	1234
154	225	1229
155	226	1223
156	226	1217
157	227	1210
158	227	1205
159	228	1199
160	229	1193
161	229	1187
162	230	1181
163	230	1175
164	231	1169
165	232	1166
166	232	1160
167	233	1154
168	233	1149
169	234	1143
170	234	1138
171	235	1132
172	235	1127
173	236	1122
174	236	1117
175	237	1112
176	238	1106
177	238	1101
178	239	1096
179	239	1092
180	240	1086
181	240	1082
182	241	1077
183	241	1072
184	242	1068
185	243	1063
186	243	1058
187	244	1054
188	244	1050
189	245	1045
190	246	1042
191	246	1037
192	247	1033
193	247	1028
194	248	1024
195	248	1020
196	249	1015
197	249	1011
198	250	1007
199	251	1005
200	251	1001
201	252	996
202	252	993
203	253	989
204	254	985
205	254	981
206	255	978
207	255	974
208	256	970
209	257	967
210	257	963
211	258	961
212	259	957
213	259	953
214	260	950
215	260	946
216	261	942
217	261	939
218	262	935
